Date,Time,INSCO2 (mmHg)
17 Oct 2022,15:29:17.030,2.4
17 Oct 2022,15:29:19.575,3.4
17 Oct 2022,15:29:22.126,3.4
17 Oct 2022,15:29:24.684,2.4
17 Oct 2022,15:29:27.222,2.3
17 Oct 2022,15:29:29.785,2.3
17 Oct 2022,15:29:32.335,1.9
17 Oct 2022,15:29:34.892,1.9
17 Oct 2022,15:29:37.431,1.9
17 Oct 2022,15:29:39.978,2.0
17 Oct 2022,15:29:42.552,2.4
17 Oct 2022,15:29:45.091,2.4
17 Oct 2022,15:29:47.640,2.5
17 Oct 2022,15:29:50.197,2.5
17 Oct 2022,15:29:52.737,2.5
17 Oct 2022,15:29:55.295,2.5
17 Oct 2022,15:29:57.849,2.5
17 Oct 2022,15:30:00.397,2.5
17 Oct 2022,15:30:02.945,3.1
17 Oct 2022,15:30:05.502,3.1
17 Oct 2022,15:30:08.060,0.0
17 Oct 2022,15:30:10.597,0.5
17 Oct 2022,15:30:13.153,0.5
17 Oct 2022,15:30:15.695,0.5
17 Oct 2022,15:30:18.250,0.5
17 Oct 2022,15:30:20.824,0.5
17 Oct 2022,15:30:23.350,2.2
17 Oct 2022,15:30:25.907,2.2
17 Oct 2022,15:30:28.458,2.2
17 Oct 2022,15:30:31.001,1.7
17 Oct 2022,15:30:33.555,1.7
17 Oct 2022,15:30:36.110,1.6
17 Oct 2022,15:30:38.651,1.6
17 Oct 2022,15:30:41.215,1.6
17 Oct 2022,15:30:43.764,1.6
17 Oct 2022,15:30:46.319,1.6
17 Oct 2022,15:30:48.863,2.6
17 Oct 2022,15:30:51.439,2.5
