Date,Time,SPO2 (%),TimeStamp (mS)
17 Oct 2022,15:25:40.948,97,1666034740948
17 Oct 2022,15:25:43.499,97,1666034743499
17 Oct 2022,15:25:46.039,98,1666034746039
17 Oct 2022,15:25:48.595,98,1666034748595
17 Oct 2022,15:25:51.137,97,1666034751137
17 Oct 2022,15:25:53.693,97,1666034753693
17 Oct 2022,15:25:56.246,97,1666034756246
17 Oct 2022,15:25:58.789,98,1666034758789
17 Oct 2022,15:26:01.348,97,1666034761348
17 Oct 2022,15:26:03.905,98,1666034763905
17 Oct 2022,15:26:06.457,98,1666034766457
17 Oct 2022,15:26:09.035,98,1666034769035
17 Oct 2022,15:26:11.557,98,1666034771557
17 Oct 2022,15:26:14.110,98,1666034774110
17 Oct 2022,15:26:16.647,98,1666034776647
17 Oct 2022,15:26:19.211,98,1666034779211
17 Oct 2022,15:26:21.763,98,1666034781763
17 Oct 2022,15:26:24.300,98,1666034784300
17 Oct 2022,15:26:26.857,97,1666034786857
17 Oct 2022,15:26:29.412,97,1666034789412
17 Oct 2022,15:26:31.961,97,1666034791961
17 Oct 2022,15:26:34.515,97,1666034794515
17 Oct 2022,15:26:37.051,97,1666034797051
17 Oct 2022,15:26:39.641,97,1666034799641
17 Oct 2022,15:26:42.161,97,1666034802162
17 Oct 2022,15:26:44.718,97,1666034804718
17 Oct 2022,15:26:47.281,97,1666034807281
17 Oct 2022,15:26:49.815,97,1666034809815
17 Oct 2022,15:26:52.370,97,1666034812370
17 Oct 2022,15:26:54.912,97,1666034814912
17 Oct 2022,15:26:57.467,97,1666034817467
17 Oct 2022,15:27:00.039,97,1666034820039
